snapshot_index,age_myr,phase,stored_index_outer_to_inner,radius_pc,temperature_K,nH_internal_pc_minus3,nH_cm_minus3,nH_T_K_cm_minus3,muH_over_mu_ion,P_total_over_kB_K_cm_minus3,scalar_Pb_over_kB_K_cm_minus3,scalar_PHII_over_kB_K_cm_minus3
154,0.17330160076943843,implicit,69,1.7456134380529817,2929173.7270342233,2.684250288095208e+55,0.9136321480515543,2676187.284246455,2.2999999999999994,6155230.753766845,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,68,1.7763877125044623,2880544.2348786467,2.729565936002294e+55,0.9290561317692121,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,67,1.807166950758302,2831688.1106776185,2.776660109926783e+55,0.9450854683307728,2676187.284246438,2.2999999999999994,6155230.753766806,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,66,1.8379298069256134,2782572.207901819,2.825671656729901e+55,0.961767416725696,2676187.284246449,2.2999999999999994,6155230.753766831,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,65,1.8686553525009706,2733159.3800255214,2.8767570153918815e+55,0.979155223732862,2676187.2842464596,2.2999999999999994,6155230.753766855,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,64,1.8994121416538503,2683262.8861810807,2.930251620579365e+55,0.9973630604846623,2676187.284246471,2.2999999999999994,6155230.753766881,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,63,1.9300002768630844,2633127.816196159,2.9860439634984875e+55,1.0163529729872698,2676187.2842464433,2.2999999999999994,6155230.753766818,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,62,1.9606620070168919,2582269.8882830194,3.0448542409718965e+55,1.0363700929905117,2676187.2842464712,2.2999999999999994,6155230.753766882,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,61,1.9912002183654234,2530919.602033038,3.106631840204107e+55,1.0573971935326318,2676187.28424646,2.2999999999999994,6155230.753766856,6155230.753766852,6155230.753766852
154,0.17330160076943843,implicit,60,2.021678351436982,2478868.528569105,3.1718646350362044e+55,1.0796003311201283,2676187.2842464712,2.2999999999999994,6155230.753766882,6155230.753766852,6155230.753766852
