snapshot_index,age_myr,phase,r_bubble_pc,r_shell_pc,r_if_pc,P_HII_code_Msun_per_pc_Myr2,P_HII_over_kB_K_cm3,Pb_over_kB_K_cm3,P_ram_over_kB_K_cm3,P_drive_over_kB_K_cm3
132,0.038840332836882666,implicit,1.1676466279060536,1.3008822256899788,1.3002879676949497,5550.422544180299,26012985.254796404,26012985.254796404,0.0,26012985.254796404
133,0.041346269005019025,implicit,1.2081608225591103,1.3461680902349054,1.3454813660701703,5300.568950549213,24842004.52400536,24842004.52400536,0.0,24842004.52400536
134,0.04450105572741999,implicit,1.2575911303430343,1.404888423016028,1.4041115407302278,4933.653630700672,23122394.39900927,23122394.399009265,0.0,23122394.39900927
135,0.04700699189555635,implicit,1.2957272287265107,1.4545161024174345,1.4536436837586075,4592.78716179806,21524866.57858859,21524866.57858859,0.0,21524866.57858859
136,0.050161778617957314,implicit,1.3423857869170643,1.5097775372357034,1.5087871999579605,4327.357568712891,20280886.316518147,20280886.316518147,0.0,20280886.316518147
137,0.05413341979157872,implicit,1.3991701474669798,1.5750781851640157,1.5739380628361137,4069.9655794110968,19074575.631319836,19074575.63131983,0.0,19074575.631319836
138,0.057288206513979686,implicit,1.4428909135354102,1.6296765500870156,1.6284239175873525,3827.634615444246,17938850.964905046,17938850.964905042,0.0,17938850.964905046
139,0.06125984768760109,implicit,1.4963312992267233,1.6946142574603187,1.693190397597997,3585.724088817576,16805096.748531427,16805096.748531427,0.0,16805096.748531427
140,0.0662598476876011,implicit,1.5613140328165278,1.77389109448736,1.7722726820426462,3322.270492123818,15570377.324637564,15570377.324637562,0.0,15570377.324637564
141,0.0702314888612225,implicit,1.611286082832414,1.8383801451205075,1.8365645226675578,3108.440663699003,14568228.005450584,14568228.005450582,0.0,14568228.005450584
142,0.07523148886122251,implicit,1.6722700756031879,1.9095076482512692,1.9074658333748147,2944.3687042319625,13799277.276317945,13799277.276317945,0.0,13799277.276317945
143,0.08152611592019335,implicit,1.7463297875124355,1.9967475560485366,1.9944211453224114,2757.213840443355,12922144.648424394,12922144.648424394,0.0,12922144.648424394
