segment,t,beta_nocage,delta_nocage,beta_cage,delta_cage,g_nocage,g_cage,f_cage,T0,conv_cage,cage_ok,Lmech_W,Lmech_SN,Lmech_total,R2,v2,R1_nocage,R1_cage,vmin_nocage,vmin_cage,c_sound
63,0.57764505,2.0824954,-0.16403889,1,-0.55226399,4.2989697e-15,0.0038928955,0.060152898,2786961.8,False,True,2.163394e+08,2.2245928e-10,2.163394e+08,5.4915546,8.1243579,0.79360836,0.79360836,0.00071122011,0.0013733183,402.19939
64,0.62764505,1.2751278,-0.095526164,1,-0.57226399,9.8857862e-16,0.00037845681,0.00081369575,2747390,False,True,2.1787233e+08,-2.8684569e-10,2.1787233e+08,5.8973261,8.1382557,0.87039603,0.87039603,0.0017720396,0.0022584125,400.89341
65,0.67764505,1.4263546,-0.35562496,1,-0.59226399,4.3953744e-15,0.0010123027,0.018679755,2726482.5,False,True,2.1941983e+08,-8.3022951e-10,2.1941983e+08,6.3025025,8.0972769,0.91997894,0.91997894,0.0014200521,0.0043953926,398.72792
66,0.72764505,1.7698626,-0.14756626,1,-0.61226399,5.3125238e-15,0.0025128973,0.037250663,2654940.4,False,True,2.2080736e+08,1.0705227e-09,2.2080736e+08,6.7065685,8.0898776,0.97367604,0.97367604,4.8250532e-05,0.0018879472,393.4295
67,0.77764505,1.5237703,-0.2015594,1,-0.63226399,1.9863216e-15,0.0012530347,0.016908649,2628019.3,False,True,2.2204279e+08,3.0984588e-09,2.2204279e+08,7.1107056,8.097195,1.0380694,1.0380694,0.001780627,0.0016130675,391.70956
68,0.82764505,1.5237703,-0.2015594,1,-0.65226399,1.8358878e-05,0.0014870614,0.021657755,2597717.1,False,True,2.2341418e+08,-3.9952453e-09,2.2341418e+08,7.5149952,8.093825,1.0947919,1.0947919,0.002087911,0.0029197708,389.42309
69,0.87764505,1.5237703,-0.2015594,1,-0.67226399,6.1667529e-05,0.001706799,0.025830192,2570172.2,False,True,2.2499396e+08,-1.1563606e-08,2.2499396e+08,7.9193677,8.0984669,1.1519262,1.1519262,0.00079208049,0.0024438153,387.33272
70,0.92764505,1.7032878,-0.20189406,1,-0.69226399,2.2846293e-15,0.002282217,0.032033752,2532951.5,False,True,2.2650702e+08,1.4910458e-08,2.2650702e+08,8.3241906,8.1101254,1.2087045,1.2087045,0.00065672169,0.0018017729,384.31108
71,0.97764505,1.7032878,-0.20189406,1,-0.71226399,1.7546302e-05,0.0019887492,0.024692825,2501627.9,False,True,2.2781957e+08,4.3155963e-08,2.2781957e+08,8.7297885,8.1280133,1.2706823,1.2706823,0.00064955834,0.00063680687,381.97553
72,1.027645,1.7032878,-0.20189406,1,-0.73226399,4.4583867e-05,0.0018344584,0.020521867,2471531.1,False,True,2.2904715e+08,-5.5646588e-08,2.2904715e+08,9.1362503,8.1435023,1.3331339,1.3331339,0.00041339764,0.0051417796,379.74538
73,1.077645,1.7032878,-0.20189406,1,-0.75226399,6.0907206e-05,0.001764237,0.018215207,2442016.2,False,True,2.3033107e+08,-1.6106025e-07,2.3033107e+08,9.5434806,8.1576968,1.3964676,1.3964676,0.00061313612,0.0011819602,377.58892
74,1.127645,1.507761,-0.32182988,1,-0.77226399,7.8700598e-19,0.0012792942,0.016265107,2432163.4,False,True,2.3181763e+08,2.076759e-07,2.3181763e+08,9.9514299,8.171328,1.460106,1.460106,0.0017864216,0.00071874998,377.00463
75,1.177645,1.6628784,-0.25529301,1,-0.79226399,1.0520523e-15,0.0020877613,0.026224855,2397456.4,False,True,2.3346853e+08,6.0108503e-07,2.3346853e+08,10.36008,8.1849058,1.5176328,1.5176328,0.00028000041,0.0022778978,374.37269
76,1.227645,1.6628784,-0.25529301,1,-0.81226399,2.5297044e-06,0.0021947416,0.027491315,2372375.7,False,True,2.3497793e+08,-7.7505699e-07,2.3497793e+08,10.769591,8.2049693,1.5807888,1.5807888,0.0015208863,0.0017466372,372.57661
77,1.277645,1.6628784,-0.25529301,1,-0.83226399,1.5782224e-05,0.0023737841,0.030131492,2348934,False,True,2.362903e+08,-2.2432799e-06,2.362903e+08,11.18015,8.2261411,1.644933,1.644933,0.00016874454,0.0027261106,370.88732
78,1.327645,1.6628784,-0.25529301,1,-0.85226399,3.3113754e-05,0.0025138567,0.031928793,2327207.7,False,True,2.3774504e+08,2.8925521e-06,2.3774504e+08,11.591811,8.2485124,1.7091113,1.7091113,0.0013309702,0.0018455045,369.3036
79,1.377645,1.6628784,-0.25529301,1,-0.87226399,4.0567344e-05,0.0025645251,0.031957313,2307201.5,False,True,2.3943124e+08,8.3720344e-06,2.3943124e+08,12.004635,8.2721094,1.7729018,1.7729018,0.0003330711,-0.00086375533,367.823
80,1.427645,1.6628784,-0.25529301,1,-0.89226399,5.0919567e-05,0.0026353834,0.032352043,2288712.2,False,True,2.4102694e+08,-1.0795151e-05,2.4102694e+08,12.418682,8.2969207,1.8369416,1.8369416,0.0003322093,-3.5024493e-05,366.436
81,1.477645,1.8241186,-0.2086713,1,-0.91226399,5.4043014e-18,0.0031682017,0.034350665,2259324.5,False,True,2.4240563e+08,-3.1244858e-05,2.4240563e+08,12.83401,8.3229572,1.9015533,1.9015533,0.00063240948,0.001538193,364.07544
82,1.527645,1.8241186,-0.2086713,1,-0.93226399,1.9467625e-05,0.0028423848,0.027276766,2239387.1,False,True,2.4377421e+08,4.0288053e-05,2.4377421e+08,13.250681,8.3502192,1.9715573,1.9715573,0.002039247,0.0014802608,362.55454
83,1.577645,1.8241186,-0.2086713,1,-0.95226399,8.3582877e-05,0.00254252,0.020804813,2220649.9,False,True,2.4520761e+08,0.0001166074,2.4520761e+08,13.668672,8.375455,2.0420572,2.0420572,0.00040602133,0.0025346387,361.10731
84,1.627645,1.6361967,-0.20085978,1,-0.97226399,6.8096826e-16,0.0019495517,0.015360106,2213314.8,False,True,2.4654863e+08,-0.00015035706,2.4654863e+08,14.087894,8.3990913,2.1139953,2.1139953,0.0015351658,0.0012457885,360.75621
85,1.677645,1.6361967,-0.20085978,1,-0.99226399,7.5514449e-06,0.0021352403,0.018022682,2200425,False,True,2.4770635e+08,-0.00043518473,2.4770635e+08,14.508273,8.4214701,2.1812917,2.1812917,0.00050377359,0.0017041839,359.73549
86,1.727645,1.6361967,-0.20085978,1,-1,3.8906958e-05,0.0023869802,0.022101262,2188196.3,False,True,2.4871776e+08,0.00056114019,2.4871776e+08,14.929833,8.4460183,2.2482225,2.2482225,0.00060911121,0.0016147871,358.76251
87,1.777645,1.6361967,-0.20085978,1,-1,9.4033758e-05,0.0026684207,0.026764612,2176545.5,False,True,2.4977447e+08,0.0016241315,2.4977447e+08,15.352675,8.4725265,2.3145845,2.3145845,-0.00023152463,0.001577766,357.83225
88,1.827645,1.7567843,-0.25675066,1,-1,1.0398663e-14,0.0029806492,0.029718318,2161498.7,False,True,2.5126506e+08,-0.0020942037,2.5126506e+08,15.776894,8.500817,2.3826087,2.3826087,0.0016913429,0.0021180284,356.43329
89,1.877645,1.7567843,-0.25675066,1,-1,1.9497083e-06,0.0029004782,0.028036734,2148250.2,False,True,2.5277044e+08,-0.0060613414,2.5277044e+08,16.202574,8.5307633,2.4553575,2.4553575,0.00073650754,0.0042845121,355.39582
90,1.927645,1.7567843,-0.25675066,1,-1,1.6221852e-05,0.0034064531,0.035995143,2135605.9,False,True,2.5267077e+08,0.0078156746,2.5267077e+08,16.629753,8.5605818,2.5229895,2.5229895,0.0012309734,0.0019579514,354.39239
91,1.977645,1.9656865,-0.35820419,1,-1,3.1822578e-14,0.0055325842,0.065400577,2117445.9,False,True,2.499107e+08,0.022621234,2.499107e+08,17.058427,8.5903493,2.5817327,2.5817327,0.0007972896,-0.00036322307,352.56293
92,2.027645,2.1715477,-0.49764169,1,-1,2.4679546e-16,0.0093385317,0.11782345,2098269.4,False,True,2.4442764e+08,-0.029168495,2.4442764e+08,17.488593,8.6201315,2.6390809,2.6390809,0.00030299572,0.0032492642,350.59811
93,2.077645,2.4210268,-0.62249211,1,-1,1.2631835e-15,0.015284519,0.19234932,2072520.7,False,True,2.3724583e+08,-0.084423594,2.3724583e+08,17.920192,8.6474586,2.6982314,2.6982314,0.0004591075,0.00059382787,348.08329
94,2.127645,2.616642,-0.67661838,1,-1,3.3226546e-14,0.020427376,0.25037051,2041473,False,True,2.3084259e+08,0.1088583,2.3084259e+08,18.353047,8.6703066,2.7673178,2.7673178,-0.00035715225,0.0030753078,345.33262
95,2.177645,2.616642,-0.67661838,1,-1,2.9027011e-05,0.022200161,0.26974431,2014944,False,True,2.2617603e+08,0.31507314,2.2617603e+08,18.786884,8.6865483,2.8478581,2.8478581,0.00066696485,0.00420678,343.28162
96,2.227645,2.8084077,-0.66683801,1,-1,1.2382294e-16,0.024373135,0.28669872,1977801,False,True,2.2181349e+08,-0.40626472,2.2181349e+08,19.22134,8.6950126,2.9299654,2.9299654,0.00098766137,0.0046662667,340.14568
97,2.277645,2.8084077,-0.66683801,1,-1,9.4391033e-07,0.02494741,0.29161251,1949732.8,False,True,2.1713647e+08,-1.175869,2.1713647e+08,19.656053,8.6966742,3.0185504,3.0185504,0.00058360249,0.00070315995,337.94142
98,2.327645,2.8084077,-0.66683801,1,-1,4.4458898e-08,0.024808602,0.28888923,1922638.7,False,True,2.1299458e+08,1.5162006,2.1299459e+08,20.090658,8.6906114,3.1104365,3.1104365,0.0012334438,0.0022264792,335.78961
99,2.377645,2.8084077,-0.66683801,1,-1,2.2563184e-05,0.023502736,0.27291777,1896548.1,False,True,2.0964726e+08,4.3884028,2.0964726e+08,20.524794,8.6777898,3.206582,3.206582,0.001143438,0.0043226811,333.69262
